"Date","Daily 3rd doses (bars)","% 3rd dose (line)"
"07/11/21","",""
"08/11/21","177,421","0.9%"
"09/11/21","13,797","0.9%"
"10/11/21","15,708","1.0%"
"11/11/21","14,764","1.1%"
"12/11/21","15,077","1.1%"
"13/11/21","14,526","1.2%"
"14/11/21","6,169","1.2%"
"15/11/21","3,176","1.3%"
"16/11/21","10,822","1.3%"
"17/11/21","13,377","1.4%"
"18/11/21","14,004","1.4%"
"19/11/21","13,498","1.5%"
"20/11/21","11,946","1.6%"
"21/11/21","7,449","1.6%"
"22/11/21","1,729","1.6%"
"23/11/21","13,124","1.7%"
"24/11/21","15,103","1.8%"
"25/11/21","13,945","1.8%"
"26/11/21","14,990","1.9%"
"27/11/21","15,073","2.0%"
"28/11/21","6,166","2.0%"
"29/11/21","3,298","2.0%"
"30/11/21","15,422","2.1%"
"01/12/21","18,361","2.2%"
"02/12/21","21,055","2.3%"
"03/12/21","25,252","2.4%"
"04/12/21","26,492","2.5%"
"05/12/21","10,102","2.6%"
"06/12/21","5,046","2.6%"
"07/12/21","22,154","2.7%"
"08/12/21","24,434","2.8%"
"09/12/21","28,272","3.0%"
"10/12/21","30,039","3.1%"
"11/12/21","29,276","3.3%"
"12/12/21","16,000","3.3%"
"13/12/21","10,290","3.4%"
"14/12/21","74,325","3.7%"
"15/12/21","96,440","4.2%"
"16/12/21","117,476","4.8%"
"17/12/21","131,422","5.4%"
"18/12/21","140,881","6.1%"
"19/12/21","70,883","6.4%"
"20/12/21","40,940","6.6%"
"21/12/21","141,930","7.3%"
"22/12/21","156,690","8.1%"
"23/12/21","167,288","8.9%"
"24/12/21","148,783","9.6%"
"25/12/21","0","9.6%"
"26/12/21","0","9.6%"
"27/12/21","109,203","10.2%"
"28/12/21","23,452","10.3%"
"29/12/21","27,752","10.4%"
"30/12/21","112,480","10.9%"
"31/12/21","123,054","11.5%"
"01/01/22","0","11.5%"
"02/01/22","0","11.5%"
"03/01/22","149,654","12.3%"
"04/01/22","36,319","12.4%"
"05/01/22","176,223","13.3%"
"06/01/22","222,565","14.4%"
"07/01/22","232,586","15.5%"
"08/01/22","226,977","16.6%"
"09/01/22","141,208","17.3%"
"10/01/22","85,967","17.7%"
"11/01/22","215,355","18.8%"
"12/01/22","242,629","19.9%"
"13/01/22","254,112","21.2%"
"14/01/22","254,515","22.4%"
"15/01/22","245,772","23.6%"
"16/01/22","133,855","24.2%"
"17/01/22","77,181","24.6%"
"18/01/22","241,498","25.8%"
"19/01/22","236,338","26.9%"
"20/01/22","245,260","28.1%"
"21/01/22","264,764","29.4%"
"22/01/22","252,337","30.6%"
"23/01/22","143,917","31.3%"
"24/01/22","86,995","31.7%"
"25/01/22","246,854","32.9%"
"26/01/22","247,988","34.1%"
"27/01/22","59,751","34.4%"
"28/01/22","232,867","35.6%"
"29/01/22","235,009","36.7%"
"30/01/22","130,192","37.3%"
"31/01/22","65,520","37.7%"
"01/02/22","206,804","38.7%"
"02/02/22","220,311","39.7%"
"03/02/22","226,997","40.8%"
"04/02/22","212,610","41.9%"
"05/02/22","207,231","42.9%"
"06/02/22","103,003","43.4%"
"07/02/22","56,141","43.6%"
"08/02/22","184,868","44.5%"
"09/02/22","188,793","45.4%"
"10/02/22","183,129","46.3%"
"11/02/22","173,062","47.2%"
"12/02/22","174,198","48.0%"
"13/02/22","90,208","48.5%"
"14/02/22","41,626","48.7%"
"15/02/22","144,512","49.4%"
"16/02/22","139,440","50.0%"
"17/02/22","136,476","50.7%"
"18/02/22","129,526","51.3%"
"19/02/22","131,432","52.0%"
"20/02/22","71,786","52.3%"
"21/02/22","34,419","52.5%"
"22/02/22","118,951","53.1%"
"23/02/22","111,244","53.6%"
"24/02/22","104,040","54.1%"
"25/02/22","103,641","54.6%"
"26/02/22","102,031","55.1%"
"27/02/22","54,306","55.4%"
"28/02/22","25,329","55.5%"
"01/03/22","85,691","55.9%"
"02/03/22","75,165","56.3%"
"03/03/22","72,074","56.6%"
"04/03/22","70,962","57.0%"
"05/03/22","74,172","57.3%"
"06/03/22","38,905","57.5%"
"07/03/22","16,923","57.6%"
"08/03/22","52,751","57.8%"
"09/03/22","57,975","58.1%"
"10/03/22","56,305","58.4%"
"11/03/22","56,899","58.7%"
"12/03/22","64,075","59.0%"
"13/03/22","33,246","59.1%"
"14/03/22","14,145","59.2%"
"15/03/22","39,418","59.4%"
"16/03/22","53,208","59.7%"
"17/03/22","50,080","59.9%"
"18/03/22","50,019","60.1%"
"19/03/22","53,234","60.4%"
"20/03/22","28,521","60.5%"
"21/03/22","12,706","60.6%"
"22/03/22","45,884","60.8%"
"23/03/22","45,791","61.1%"
"24/03/22","43,218","61.3%"
"25/03/22","45,063","61.5%"
"26/03/22","47,475","61.7%"
"27/03/22","24,754","61.8%"
"28/03/22","11,602","61.9%"
"29/03/22","40,907","62.1%"
"30/03/22","38,269","62.3%"
"31/03/22","36,920","62.4%"
"01/04/22","34,912","62.6%"
"02/04/22","35,078","62.8%"
"03/04/22","17,094","62.9%"
"04/04/22","8,055","62.9%"
"05/04/22","30,428","63.1%"
"06/04/22","29,362","63.2%"
"07/04/22","28,330","63.3%"
"08/04/22","27,883","63.5%"
"09/04/22","28,450","63.6%"
"10/04/22","12,072","63.7%"
"11/04/22","6,732","63.7%"
"12/04/22","30,946","63.9%"
"13/04/22","26,383","64.0%"
"14/04/22","23,207","64.1%"
"15/04/22","24,379","64.2%"
"16/04/22","2,078","64.2%"
"17/04/22","5,175","64.2%"
"18/04/22","1,599","64.3%"
"19/04/22","2,865","64.3%"
"20/04/22","21,272","64.4%"
"21/04/22","20,577","64.5%"
"22/04/22","20,531","64.6%"
"23/04/22","20,279","64.7%"
"24/04/22","9,587","64.7%"
"25/04/22","4,787","64.7%"
"26/04/22","1,877","64.7%"
"27/04/22","17,543","64.8%"
"28/04/22","15,896","64.9%"
"29/04/22","15,827","65.0%"
"30/04/22","16,141","65.1%"
"01/05/22","7,544","65.1%"
"02/05/22","3,028","65.1%"
"03/05/22","11,600","65.2%"
"04/05/22","13,559","65.2%"
"05/05/22","13,033","65.3%"
"06/05/22","13,653","65.4%"
"07/05/22","13,108","65.4%"
"08/05/22","5,589","65.5%"
"09/05/22","2,227","65.5%"
"10/05/22","12,163","65.5%"
"11/05/22","12,265","65.6%"
"12/05/22","11,921","65.6%"
"13/05/22","12,176","65.7%"
"14/05/22","12,044","65.8%"
"15/05/22","5,286","65.8%"
"16/05/22","2,740","65.8%"
"17/05/22","11,351","65.9%"
"18/05/22","10,890","65.9%"
"19/05/22","11,393","66.0%"
"20/05/22","11,270","66.0%"
"21/05/22","11,043","66.1%"
"22/05/22","4,835","66.1%"
"23/05/22","2,257","66.1%"
"24/05/22","9,731","66.2%"
"25/05/22","10,186","66.2%"
"26/05/22","9,960","66.3%"
"27/05/22","10,257","66.3%"
"28/05/22","10,462","66.4%"
"29/05/22","4,782","66.4%"
"30/05/22","2,228","66.4%"
"31/05/22","9,564","66.4%"
"01/06/22","9,648","66.5%"
"02/06/22","9,731","66.5%"
"03/06/22","9,716","66.6%"
"04/06/22","9,082","66.6%"
"05/06/22","3,925","66.6%"
"06/06/22","1,723","66.6%"
"07/06/22","7,545","66.7%"
"08/06/22","8,652","66.7%"
"09/06/22","8,309","66.8%"
"10/06/22","24,544","66.9%"
"11/06/22","-8,447","66.8%"
"12/06/22","3,476","66.9%"
"13/06/22","1,705","66.9%"
"14/06/22","2,633","66.9%"
"15/06/22","7,703","66.9%"
"16/06/22","7,169","67.0%"
"17/06/22","7,216","67.0%"
"18/06/22","7,396","67.0%"
"19/06/22","3,216","67.0%"
"20/06/22","1,405","67.0%"
"21/06/22","6,686","67.1%"
"22/06/22","7,130","67.1%"
"23/06/22","6,687","67.1%"
"24/06/22","7,355","67.2%"
"25/06/22","6,685","67.2%"
"26/06/22","2,820","67.2%"
"27/06/22","1,465","67.2%"
"28/06/22","6,504","67.3%"
"29/06/22","6,732","67.3%"
"30/06/22","6,684","67.3%"
"01/07/22","6,797","67.4%"
"02/07/22","5,891","67.4%"
"03/07/22","2,392","67.4%"
"04/07/22","963","67.4%"
"05/07/22","6,130","67.4%"
"06/07/22","6,937","67.5%"
"07/07/22","7,390","67.5%"
"08/07/22","8,213","67.5%"
"09/07/22","8,779","67.6%"
"10/07/22","3,237","67.6%"
"11/07/22","1,343","67.6%"
"12/07/22","8,380","67.7%"
"13/07/22","9,521","67.7%"
"14/07/22","9,685","67.7%"
"15/07/22","9,877","67.8%"
"16/07/22","9,945","67.8%"
"17/07/22","4,314","67.9%"
"18/07/22","2,178","67.9%"
"19/07/22","9,358","67.9%"
"20/07/22","9,820","68.0%"
"21/07/22","9,737","68.0%"
"22/07/22","9,899","68.1%"
"23/07/22","9,584","68.1%"
"24/07/22","4,469","68.1%"
"25/07/22","1,753","68.1%"
"26/07/22","8,670","68.2%"
"27/07/22","9,043","68.2%"
"28/07/22","8,498","68.3%"
"29/07/22","8,368","68.3%"
"30/07/22","7,665","68.3%"
"31/07/22","3,454","68.4%"
"01/08/22","1,379","68.4%"
"02/08/22","6,520","68.4%"
"03/08/22","6,432","68.4%"
"04/08/22","6,109","68.5%"
"05/08/22","6,081","68.5%"
"06/08/22","0","68.5%"
"07/08/22","0","68.5%"
"08/08/22","9,277","68.5%"
"09/08/22","4,914","68.6%"
"10/08/22","5,202","68.6%"
"11/08/22","4,905","68.6%"
"12/08/22","4,669","68.6%"
"13/08/22","0","68.6%"
"14/08/22","0","68.6%"
"15/08/22","7,303","68.7%"
"16/08/22","3,997","68.7%"
"17/08/22","4,256","68.7%"
"18/08/22","4,459","68.7%"
"19/08/22","3,911","68.7%"
"20/08/22","0","68.7%"
"21/08/22","0","68.7%"
"22/08/22","6,150","68.8%"
